team_code,W,L,total_speeches,win_rate
Dartmouth CG,5,3,8,0.625
Dartmouth JR,4,4,8,0.5
Emory CG,1,7,8,0.125
Emory CR,2,6,8,0.25
Emory KW,2,6,8,0.25
Emory LY,6,2,8,0.75
Georgetown AC,6,2,8,0.75
Georgetown LN,3,5,8,0.375
Harvard AB,4,4,8,0.5
Kansas BW,4,4,8,0.5
Kansas OW,5,3,8,0.625
Kansas UA,4,4,8,0.5
Kentucky GS,4,4,8,0.5
Michigan AM,3,5,8,0.375
Michigan AO,5,3,8,0.625
Michigan BP,6,2,8,0.75
Michigan CC,5,3,8,0.625
Michigan ES,5,3,8,0.625
Michigan HM,3,5,8,0.375
Michigan SS,6,2,8,0.75
Michigan State FM,4,4,8,0.5
Michigan State GL,6,2,8,0.75
Northwestern AH,3,5,8,0.375
Northwestern AT,6,2,8,0.75
Northwestern HP,1,7,8,0.125
Northwestern LR,7,1,8,0.875
Northwestern LW,4,4,8,0.5
Northwestern NP,6,2,8,0.75
Purdue HH,2,6,8,0.25
Southern California BM,4,4,8,0.5
Texas FL,5,3,8,0.625
Texas GS,2,6,8,0.25
Trinity CK,2,6,8,0.25
UC Berkeley RM,5,3,8,0.625
UTD HH,4,4,8,0.5
UTD PR,5,3,8,0.625
Wake Forest DE,4,4,8,0.5
Wyoming CH,3,5,8,0.375
Wyoming WW,3,5,8,0.375
CSU Long Beach OM,6,1,7,0.8571428571428571
Emory GS,6,1,7,0.8571428571428571
Emory RY,3,4,7,0.42857142857142855
Emory TS,1,6,7,0.14285714285714285
George Mason WW,4,3,7,0.5714285714285714
Michigan CS,3,4,7,0.42857142857142855
Michigan State JS,4,3,7,0.5714285714285714
Minnesota HU,2,5,7,0.2857142857142857
Northwestern LL,4,3,7,0.5714285714285714
UC Berkeley GS,4,3,7,0.5714285714285714
Emory CS,2,4,6,0.3333333333333333
Michigan State GS,4,2,6,0.6666666666666666
UC Berkeley BU,4,2,6,0.6666666666666666
Georgia CK,3,2,5,0.6
Iowa BS,2,3,5,0.4
Iowa EW,3,2,5,0.6
Iowa SK,3,2,5,0.6
Kentucky RW,3,2,5,0.6
Southern California RB,2,3,5,0.4
Southern California TM,3,2,5,0.6
Wake Forest HN,5,0,5,1.0
Wichita State GM,2,3,5,0.4
Arizona State SS,2,2,4,0.5
Baylor DL,1,3,4,0.25
Georgetown TP,0,4,4,0.0
Gonzaga WR,1,3,4,0.25
Kansas BM,2,2,4,0.5
Kansas SL,4,0,4,1.0
Iowa PA,3,0,3,1.0
Stanford LY,2,1,3,0.6666666666666666
Trinity KP,1,2,3,0.3333333333333333
UTD DD,1,2,3,0.3333333333333333
Southern California HV,0,2,2,0.0
Navy CR,0,1,1,0.0
